               22        1    3    0    0    0  0.108365055E+02 -0.318866853E+01  0.765879000E+01  0.136475097E+02  0.376406989E-05 0. 9.
               22        1    3    0    0    0 -0.108552242E+02  0.332033636E+01  0.234483596E+01  0.115913236E+02  0.344265201E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0 -0.409480403E-01  0.264157125E-02  0.249930552E+04  0.249930569E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0 -0.821677621E-02 -0.446192029E-01 -0.249328798E+04  0.249328816E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0  0.491648165E-01  0.419776316E-01 -0.601753736E+01  0.274061525E+02  0.267372822E+02 0. 9.
               22        1    3    0    0    0  0.699503634E+01 -0.821717371E+01  0.507951710E+01  0.119270269E+02  0.398505083E-05 0. 9.
               22        1    3    0    0    0 -0.694587153E+01  0.825915134E+01 -0.110970545E+02  0.154791256E+02  0.453465619E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0 -0.242911028E+00 -0.114647574E+00  0.248997410E+04  0.248997429E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0  0.100728868E-01  0.606794457E-02 -0.250468920E+04  0.250468938E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0  0.232838141E+00  0.108579629E+00  0.147151098E+02  0.253363331E+02  0.206235136E+02 0. 9.
               22        1    3    0    0    0 -0.738082249E+01 -0.626507087E+00  0.159519782E+02  0.175879123E+02  0.201601202E-05 0. 9.
               22        1    3    0    0    0  0.761366064E+01  0.735086716E+00 -0.123686836E+01  0.774842075E+01  0.130041982E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0 -0.702743989E-02 -0.486521232E-02  0.249944603E+04  0.249944620E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0 -0.464624239E+00 -0.425637266E-01 -0.248710866E+04  0.248710889E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0  0.471651679E+00  0.474289390E-01 -0.123373625E+02  0.334449120E+02  0.310825823E+02 0. 9.
               22        1    3    0    0    0 -0.820393487E+01  0.915588473E+01 -0.161538072E+02  0.202997601E+02  0.462618063E-05 0. 9.
               22        1    3    0    0    0  0.867558655E+01 -0.910845580E+01  0.381644467E+01  0.131451519E+02  0.369933144E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0 -0.608940607E-01  0.238471896E+00  0.246644147E+04  0.246644167E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0  0.513255672E-02  0.207925809E-02 -0.249602657E+04  0.249602674E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0  0.557615040E-01 -0.240551154E+00  0.295850902E+02  0.575315927E+02  0.493411150E+02 0. 9.
               22        1    3    0    0    0 -0.126632296E+02  0.153323178E+02  0.315870204E+02  0.373252891E+02  0.736207850E-05 0. 9.
               22        1    3    0    0    0  0.127189911E+02 -0.155728689E+02 -0.200193022E+01  0.202063036E+02  0.530983387E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0  0.910828856E-01 -0.167539825E-01  0.248076239E+04  0.248076256E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0  0.140410629E-01  0.105525326E-01 -0.249818711E+04  0.249818729E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0 -0.105123948E+00  0.620144985E-02  0.174247269E+02  0.410501469E+02  0.371682978E+02 0. 9.
               22        1    3    0    0    0  0.321725276E+01 -0.712223706E+01  0.273167498E+02  0.284127049E+02  0.603009324E-05 0. 9.
               22        1    3    0    0    0 -0.332237671E+01  0.712843851E+01 -0.989202295E+01  0.126374420E+02  0.400084385E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0  0.100621937E-01 -0.303212251E-02  0.250273145E+04  0.250273162E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0  0.724201814E-02  0.100994263E+00 -0.247403974E+04  0.247403992E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0 -0.173042119E-01 -0.979621404E-01 -0.286917033E+02  0.432284547E+02  0.323338145E+02 0. 9.
               22        1    3    0    0    0  0.927540452E+01  0.131685461E+02 -0.133852811E+02  0.209430056E+02  0.169847093E-05 0. 9.
               22        1    3    0    0    0 -0.929270873E+01 -0.132665083E+02 -0.153064223E+02  0.222854491E+02  0.183132786E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0  0.657969787E-02 -0.161947876E-01  0.249039176E+04  0.249039193E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0 -0.205349575E+00  0.388998374E+00 -0.249901384E+04  0.249901405E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0  0.198769877E+00 -0.372803586E+00  0.862207787E+01  0.305940151E+02  0.293508951E+02 0. 9.
               22        1    3    0    0    0  0.667475520E+01 -0.135884099E+01 -0.929116040E+01  0.115206105E+02  0.228527659E-05 0. 9.
               22        1    3    0    0    0 -0.647598532E+01  0.986037405E+00  0.179132383E+02  0.190734045E+02  0.292852366E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0 -0.800996068E+00 -0.147561800E+00  0.250229780E+04  0.250229811E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0 -0.201198787E-01  0.920468765E-02 -0.247517687E+04  0.247517705E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0  0.821115947E+00  0.138357113E+00 -0.271209360E+02  0.425248420E+02  0.327432992E+02 0. 9.
               22        1    3    0    0    0 -0.133608562E+02  0.612836121E+01 -0.490507344E+01  0.154960974E+02  0.255119020E-05 0. 9.
               22        1    3    0    0    0  0.141819722E+02 -0.599000410E+01 -0.222158625E+02  0.270287445E+02  0.343438632E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0  0.446076622E-01  0.383373770E-01  0.249744920E+04  0.249744938E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0  0.353495442E-01 -0.543250232E-02 -0.249907295E+04  0.249907313E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0 -0.799572064E-01 -0.329048746E-01  0.162375373E+01  0.234774965E+02  0.234211185E+02 0. 9.
               22        1    3    0    0    0 -0.182200124E+01  0.473928875E+01 -0.976548392E+01  0.110065990E+02  0.203999019E-05 0. 9.
               22        1    3    0    0    0  0.174204404E+01 -0.477219363E+01  0.113892377E+02  0.124708975E+02  0.216749158E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0  0.105323099E+00 -0.508498936E-01  0.248736382E+04  0.248736400E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0  0.125486958E-02  0.705689223E-02 -0.250180684E+04  0.250180702E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0 -0.106577969E+00  0.437930014E-01  0.144430153E+02  0.308289791E+02  0.272362257E+02 0. 9.
               22        1    3    0    0    0  0.114618840E+02 -0.311889782E+01 -0.226718520E+00  0.118808126E+02  0.225554561E-05 0. 9.
               22        1    3    0    0    0 -0.115684619E+02  0.316269082E+01  0.146697338E+02  0.189481665E+02  0.291026965E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0 -0.217692447E-01 -0.643043822E-01  0.250194798E+04  0.250194816E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0 -0.995690526E-01  0.129328042E+00 -0.249725860E+04  0.249725878E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0  0.121338297E+00 -0.650236597E-01 -0.468938772E+01  0.207930596E+02  0.202569006E+02 0. 9.
               22        1    3    0    0    0  0.661074026E+01 -0.538740658E+01 -0.807370973E+01  0.117435440E+02  0.465069037E-05 0. 9.
               22        1    3    0    0    0 -0.648940196E+01  0.532238292E+01  0.338432201E+01  0.904951564E+01  0.407758507E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0 -0.424191259E+00  0.750595306E-01  0.250200264E+04  0.250200285E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0 -0.117074630E-01  0.158521556E+00 -0.249169107E+04  0.249169125E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0  0.435898722E+00 -0.233581086E+00 -0.103115746E+02  0.263058972E+02  0.241956007E+02 0. 9.
               22        1    3    0    0    0  0.119411531E+02  0.165492337E+01 -0.261570083E+01  0.123357934E+02  0.271839005E-05 0. 9.
               22        1    3    0    0    0 -0.115052544E+02 -0.188850445E+01 -0.769587373E+01  0.139701038E+02  0.288082265E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0  0.641059150E-02  0.198190351E-01  0.248411252E+04  0.248411270E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0 -0.304554340E-02 -0.295264052E-02 -0.250463321E+04  0.250463338E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0 -0.336504811E-02 -0.168663946E-01  0.205206894E+02  0.312539206E+02  0.235734717E+02 0. 9.
               22        1    3    0    0    0 -0.119709986E+01 -0.843722092E+01  0.210736203E+02  0.227314148E+02  0.492243796E-05 0. 9.
               22        1    3    0    0    0  0.119373481E+01  0.842035452E+01 -0.552930965E+00  0.852250583E+01  0.289013390E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0 -0.638190991E-02 -0.531666947E+00  0.249226126E+04  0.249226149E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0  0.128720345E-01  0.278199105E-02 -0.250404353E+04  0.250404370E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0 -0.649012460E-02  0.528884956E+00  0.117822705E+02  0.236948064E+02  0.205509657E+02 0. 9.
               22        1    3    0    0    0 -0.450094666E+01 -0.485606791E+01 -0.304832572E+01  0.728918418E+01  0.942432183E-06 0. 9.
               22        1    3    0    0    0  0.449445654E+01  0.538495286E+01  0.148305962E+02  0.164056222E+02  0.139148444E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0  0.937309074E-03  0.113137577E-01  0.249552314E+04  0.249552332E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0  0.118570145E-01  0.104968026E-02 -0.249755062E+04  0.249755080E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0 -0.127943236E-01 -0.123634379E-01  0.202748000E+01  0.269258819E+02  0.268494344E+02 0. 9.
               22        1    3    0    0    0 -0.582368259E+01 -0.699705814E+01  0.109170165E+02  0.142146175E+02  0.495973684E-05 0. 9.
               22        1    3    0    0    0  0.581088827E+01  0.698469470E+01 -0.888953653E+01  0.127112644E+02  0.468342335E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0  0.733090109E-01  0.311101500E+00  0.250359756E+04  0.250359776E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0 -0.827519958E-01  0.227686980E-02 -0.248146582E+04  0.248146600E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0  0.944298489E-02 -0.313378369E+00 -0.221317413E+02  0.349362409E+02  0.270301435E+02 0. 9.
               22        1    3    0    0    0  0.272662643E+01  0.130063791E+02 -0.127717459E+02  0.184314374E+02  0.378419089E-05 0. 9.
               22        1    3    0    0    0 -0.271718345E+01 -0.133197575E+02 -0.935999539E+01  0.165048035E+02  0.355822756E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0 -0.104790766E-01  0.137801182E-02  0.249895722E+04  0.249895739E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0 -0.204464025E-01 -0.721707173E-01 -0.247027566E+04  0.247027584E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0  0.309254790E-01  0.707927055E-01 -0.286815515E+02  0.507667652E+02  0.418882691E+02 0. 9.
               22        1    3    0    0    0 -0.757761494E+01  0.113354577E+02 -0.336391659E+02  0.362974700E+02  0.445880990E-05 0. 9.
               22        1    3    0    0    0  0.760854042E+01 -0.112646650E+02  0.495761438E+01  0.144692952E+02  0.278424518E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0  0.387569030E-01  0.499200368E-01  0.246739651E+04  0.246739669E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0 -0.386181319E+00 -0.119378010E+00 -0.250282930E+04  0.250282951E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0  0.347424416E+00  0.694579732E-01  0.354327942E+02  0.497738063E+02  0.349545900E+02 0. 9.
               22        1    3    0    0    0 -0.134279459E+02  0.193216476E+00  0.195301500E+01  0.135706054E+02  0.284608278E-05 0. 9.
               22        1    3    0    0    0  0.137753703E+02 -0.123758502E+00  0.334797792E+02  0.362032009E+02  0.485695572E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0  0.166969593E+00  0.551325541E-02  0.250368705E+04  0.250368723E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0 -0.355460037E-02 -0.137471979E-01 -0.249292553E+04  0.249292570E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0 -0.163414993E+00  0.823394250E-02 -0.107615197E+02  0.233870697E+02  0.207633800E+02 0. 9.
               22        1    3    0    0    0  0.918226688E+01 -0.328426345E+01 -0.158125599E+01  0.987931080E+01  0.198045346E-05 0. 9.
               22        1    3    0    0    0 -0.934568187E+01  0.329249739E+01 -0.918026371E+01  0.135077589E+02  0.231769348E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0 -0.369790615E+00  0.476934235E-02  0.249977032E+04  0.249977052E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0 -0.100840735E-01  0.628274652E-01 -0.249737497E+04  0.249737514E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0  0.379874688E+00 -0.675968076E-01 -0.239535238E+01  0.228543326E+02  0.227251828E+02 0. 9.
               22        1    3    0    0    0 -0.322763041E+01 -0.791652142E+01  0.628294873E+01  0.106096350E+02  0.165073662E-05 0. 9.
               22        1    3    0    0    0  0.360750509E+01  0.784892461E+01 -0.867830112E+01  0.122446977E+02  0.174540883E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0 -0.234844530E-02  0.167188257E-01  0.250522348E+04  0.250522366E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0  0.895514568E-01  0.125487266E+00 -0.248704588E+04  0.248704606E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0 -0.872030115E-01 -0.142206092E+00 -0.181776031E+02  0.277302805E+02  0.209407587E+02 0. 9.
               22        1    3    0    0    0  0.786480297E+01 -0.114114882E+01 -0.911746382E-01  0.794768263E+01  0.115577694E-05 0. 9.
               22        1    3    0    0    0 -0.795200598E+01  0.998942733E+00 -0.180864284E+02  0.197825979E+02  0.189613983E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0 -0.175393339E-02  0.546689568E-01  0.249543530E+04  0.249543548E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0  0.475794098E-02 -0.328345380E-01 -0.248932425E+04  0.248932442E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0 -0.300400759E-02 -0.218344188E-01 -0.611105238E+01  0.352400985E+02  0.347061824E+02 0. 9.
               22        1    3    0    0    0  0.139970221E+02  0.538806931E+01 -0.119079094E+02  0.191506194E+02  0.892080638E-06 0. 9.
               22        1    3    0    0    0 -0.140000261E+02 -0.540990372E+01  0.579685700E+01  0.160894791E+02  0.923391186E-06 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0  0.101130333E+00  0.652146484E-01  0.248044724E+04  0.248044743E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0  0.103149161E+00  0.230197500E+00 -0.247770549E+04  0.247770568E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0 -0.204279494E+00 -0.295412148E+00 -0.274175967E+01  0.618468993E+02  0.617850525E+02 0. 9.
               22        1    3    0    0    0 -0.530719383E+01  0.536270199E+01 -0.313480857E+02  0.322432529E+02  0.585401368E-05 0. 9.
               22        1    3    0    0    0  0.510291434E+01 -0.565811414E+01  0.286063261E+02  0.296036464E+02  0.568217053E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0 -0.129393801E+00  0.195237867E+00  0.249641328E+04  0.249641347E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0  0.107914917E+00  0.662798614E-01 -0.250149065E+04  0.250149083E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0  0.214788841E-01 -0.261517729E+00  0.507736345E+01  0.220957039E+02  0.215028291E+02 0. 9.
               22        1    3    0    0    0 -0.581619249E+01  0.122185574E+01  0.117127433E+02  0.131342827E+02  0.464610464E-05 0. 9.
               22        1    3    0    0    0  0.583767137E+01 -0.148337347E+01 -0.663537988E+01  0.896142120E+01  0.384253537E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0 -0.806464477E-01  0.610332090E+00  0.250213523E+04  0.250213548E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0 -0.110685412E+00  0.109953389E+00 -0.249032634E+04  0.249032653E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0  0.191331860E+00 -0.720285479E+00 -0.118088858E+02  0.275379915E+02  0.248663583E+02 0. 9.
               22        1    3    0    0    0 -0.306116436E+01 -0.122982292E+02 -0.770024466E+01  0.148293943E+02  0.344651972E-05 0. 9.
               22        1    3    0    0    0  0.325249621E+01  0.115779437E+02 -0.410864117E+01  0.127085972E+02  0.316017059E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0 -0.677452639E-01  0.277617918E-01  0.246614171E+04  0.246614189E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0 -0.542870803E-03 -0.178176150E-01 -0.249992004E+04  0.249992022E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0  0.682881347E-01 -0.994417683E-02  0.337783289E+02  0.539378938E+02  0.420513510E+02 0. 9.
               22        1    3    0    0    0 -0.195774656E+02  0.178668877E+01  0.263110811E+02  0.328442142E+02  0.444764092E-05 0. 9.
               22        1    3    0    0    0  0.196457538E+02 -0.179663294E+01  0.746724783E+01  0.210936796E+02  0.347960461E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0 -0.514729612E-01  0.367588183E+00  0.248417646E+04  0.248417667E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0 -0.881478168E-01 -0.150018298E-02 -0.250534369E+04  0.250534387E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0  0.139620778E+00 -0.366088000E+00  0.211672278E+02  0.304794692E+02  0.219269923E+02 0. 9.
               22        1    3    0    0    0  0.196417747E+01  0.622098746E+01 -0.159274290E+01  0.671531891E+01  0.350706355E-05 0. 9.
               22        1    3    0    0    0 -0.182455669E+01 -0.658707546E+01  0.227599707E+02  0.237641503E+02  0.688452999E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0  0.745133385E-02 -0.138195193E-01  0.248155111E+04  0.248155129E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0  0.365530619E-01 -0.526561874E+00 -0.250593540E+04  0.250593563E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0 -0.440043957E-01  0.540381394E+00  0.243842897E+02  0.325130864E+02  0.214991455E+02 0. 9.
               22        1    3    0    0    0 -0.634091049E+01 -0.580809184E+01  0.262888266E+01  0.899177962E+01  0.150080661E-05 0. 9.
               22        1    3    0    0    0  0.629690610E+01  0.634847323E+01  0.217554070E+02  0.235213068E+02  0.261038404E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0  0.124847936E-01 -0.128684023E-01  0.249578582E+04  0.249578600E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0  0.131674217E+00  0.116244331E+00 -0.249808099E+04  0.249808117E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0 -0.144159011E+00 -0.103375928E+00  0.229517059E+01  0.261328272E+02  0.260312386E+02 0. 9.
               22        1    3    0    0    0 -0.932453739E+01 -0.484524860E+01 -0.667551704E+01  0.124493357E+02  0.268419510E-05 0. 9.
               22        1    3    0    0    0  0.918037838E+01  0.474187268E+01  0.897068762E+01  0.136834915E+02  0.280838465E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0  0.107073380E-01  0.256613625E-02  0.250333337E+04  0.250333355E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0 -0.735971181E-02  0.192630523E-01 -0.249366545E+04  0.249366563E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0 -0.334762615E-02 -0.218291886E-01 -0.966791821E+01  0.230008268E+02  0.208702876E+02 0. 9.
               22        1    3    0    0    0 -0.690146931E+01 -0.551578468E+01 -0.109714529E+02  0.140864097E+02  0.198940268E-05 0. 9.
               22        1    3    0    0    0  0.689812169E+01  0.549395549E+01  0.130353473E+01  0.891441712E+01  0.156341518E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0  0.625141290E-02  0.331452963E-03  0.249960470E+04  0.249960488E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0 -0.595200578E-02 -0.197731537E-01 -0.248120593E+04  0.248120611E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0 -0.299407112E-03  0.194417008E-01 -0.183987723E+02  0.391890144E+02  0.346014979E+02 0. 9.
               22        1    3    0    0    0  0.373960846E+01  0.535740493E+01 -0.273481705E+02  0.281177683E+02  0.341259365E-05 0. 9.
               22        1    3    0    0    0 -0.373990787E+01 -0.533796323E+01  0.894939830E+01  0.110712462E+02  0.211785293E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0  0.107197764E-01  0.755507475E-02  0.249486783E+04  0.249486801E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0 -0.206704508E-01  0.595030190E-02 -0.249666606E+04  0.249666623E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0  0.995067444E-02 -0.135053767E-01  0.179822421E+01  0.284657594E+02  0.284088994E+02 0. 9.
               22        1    3    0    0    0 -0.979628771E+01  0.423988700E+01 -0.848307538E+01  0.136347520E+02  0.113091862E-05 0. 9.
               22        1    3    0    0    0  0.980623839E+01 -0.425339237E+01  0.102812996E+02  0.148310074E+02  0.121570099E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0 -0.480299570E-01 -0.103489939E+00  0.247113127E+04  0.247113145E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0  0.459434997E-01 -0.243375654E-01 -0.246783491E+04  0.246783509E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0  0.208645728E-02  0.127827504E+00 -0.329635483E+01  0.810334577E+02  0.809662829E+02 0. 9.
               22        1    3    0    0    0  0.799894052E+01  0.504280668E+01 -0.410528005E+02  0.421277269E+02  0.630739945E-05 0. 9.
               22        1    3    0    0    0 -0.799685406E+01 -0.491497917E+01  0.377564457E+02  0.389057307E+02  0.613667377E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0 -0.454451625E+00  0.633645517E-01  0.249947807E+04  0.249947829E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0 -0.446660285E-01 -0.162898089E-01 -0.250019544E+04  0.250019562E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0  0.499117654E+00 -0.470747429E-01  0.717367349E+00  0.203260944E+02  0.203072441E+02 0. 9.
               22        1    3    0    0    0  0.171976693E+01 -0.691405526E+01  0.767657936E+01  0.104733772E+02  0.235466639E-05 0. 9.
               22        1    3    0    0    0 -0.122064927E+01  0.686698052E+01 -0.695921201E+01  0.985271728E+01  0.228901432E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0 -0.157632022E+00  0.823241779E-02  0.249273359E+04  0.249273377E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0 -0.309793593E-01 -0.143143844E+00 -0.248016362E+04  0.248016380E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0  0.188611382E+00  0.134911426E+00 -0.125699720E+02  0.471024246E+02  0.453936166E+02 0. 9.
               22        1    3    0    0    0 -0.138519649E+01  0.227155883E+02 -0.645587511E+01  0.236557613E+02  0.197253330E-05 0. 9.
               22        1    3    0    0    0  0.157380787E+01 -0.225806768E+02 -0.611409693E+01  0.234466633E+02  0.201226375E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0  0.399137716E-01 -0.146456144E+00  0.248661975E+04  0.248661993E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0  0.179016211E-02  0.880319198E-02 -0.248959441E+04  0.248959458E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0 -0.417039337E-01  0.137652952E+00  0.297465422E+01  0.437854824E+02  0.436840842E+02 0. 9.
               22        1    3    0    0    0  0.203959357E+02 -0.333040145E+01 -0.550768641E+01  0.213873883E+02  0.397523212E-05 0. 9.
               22        1    3    0    0    0 -0.204376397E+02  0.346805441E+01  0.848234063E+01  0.223980941E+02  0.408106870E-05 0. 9.
 </event>
 <event>
 5    0   1.    0.211099058E+02    0.729740000E-02    0.151768022E+00
             2212        1    0    0    0    0 -0.925216638E-01 -0.115975094E+00  0.249966739E+04  0.249966757E+04  0.938272046E+00 0. 9.
             2212        1    0    0    0    0  0.241748468E-01 -0.334092185E-01 -0.249645572E+04  0.249645590E+04  0.938272046E+00 0. 9.
               93        3    0    0    0    0  0.683468170E-01  0.149384313E+00 -0.321166419E+01  0.238765298E+02  0.236589708E+02 0. 9.
               22        1    3    0    0    0 -0.165458462E+01  0.572170353E+01  0.874061651E+01  0.105770468E+02  0.350193140E-05 0. 9.
               22        1    3    0    0    0  0.172293143E+01 -0.557231921E+01 -0.119522807E+02  0.132994830E+02  0.392033664E-05 0. 9.
 </event>
 <event>
